,company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers,employees
10,explara ticketing software,Good platform for events management,Ragavendra P.,Steering Committee Member,,2+ years,NO,Capterra,2018-12-05,4,4.0,4.0,3.0,3.0,8.0,,Very cost effective. Support from Sales and BD guys,Explara logo in all mails and standard text.,Good,,
11,explara ticketing software,Nice UI/UX,Bibekananda D.,Secretary,,Less than 6 months,NO,Capterra,2019-07-03,5,5.0,4.0,5.0,4.0,10.0,,"1. Better UI and UX

2. Nice Reports. especially the incomplete user

3. Pricing match

4. Fast resolution by experts","1. Can have few more reports and charts like ticket type, ticket type price

2. They need to provide on field support

3. more user friendly ticket scan app

4. More option to ticket generation config",Excellent,,
12,explara ticketing software,ICISS'18,Vinod G.,Associate Professor,,Less than 6 months,NO,Capterra,2019-03-22,5,5.0,5.0,5.0,5.0,9.0,,"Thank you for offering Explara's services to handle all registrations for ICISS'18. Overall, it was a very smooth experience, with Explara customer support immediately responding to our requests for feature additions as and when they were needed.",Nothing specific to report for this column.,Excellent,,
13,explara ticketing software,User friendly platform,Julia T.,Co-Founder,,,,Capterra,2014-07-07,4,5.0,,4.0,,,"I have been using Explara from past 8 months, their event apps and UI is chanceless. Very impressive marketing and support team, looking forward to maintain a long term relationship with them.","Thank you for offering Explara's services to handle all registrations for ICISS'18. Overall, it was a very smooth experience, with Explara customer support immediately responding to our requests for feature additions as and when they were needed.",Nothing specific to report for this column.,Excellent,,
14,explara ticketing software,A cost-effective reliable platform,Dr Shahzad M.,Specialist in Family Medicine,,Less than 6 months,NO,Capterra,2019-02-05,5,4.0,5.0,5.0,5.0,10.0,"I have been using Explara from past 8 months, their event apps and UI is chanceless. Very impressive marketing and support team, looking forward to maintain a long term relationship with them.","The platform is quite simple and easy to follow.

No issues faced while updation.

Tech support was prompt and reliable.

Charges applied were reasonable.",Faced some hanging issues with the mobile app for Explara.,"Our event had a smooth registration portal, thanks to Explara. Couldn't explore many options; hope to utilise them in the next event. :)",,
15,explara ticketing software,Best platform for Startup event organizers like me,Krish M.,Founder,,,,Capterra,2014-11-28,5,5.0,,5.0,,,"We have used Explara for our previous Startup Summit. I want to say, it is one stop platform for organizers like me pre & post engagements.","The platform is quite simple and easy to follow.

No issues faced while updation.

Tech support was prompt and reliable.

Charges applied were reasonable.",Faced some hanging issues with the mobile app for Explara.,"Our event had a smooth registration portal, thanks to Explara. Couldn't explore many options; hope to utilise them in the next event. :)",,
16,explara ticketing software,Explara for our annual event,NITHIN A.,Technical Officer,,Less than 6 months,NO,Capterra,2019-03-22,5,4.0,4.0,5.0,4.0,9.0,"We have used Explara for our previous Startup Summit. I want to say, it is one stop platform for organizers like me pre & post engagements.",Easy of use and best customer support,Easy of use and best customer support,Explara helped us to save time in managing everything related to the event registration.,,
17,ticketmanager,The system can be slow at times and looking up names is challenging.,Kathy B.,Operations Manager,,2+ years,NGC,Capterra,2018-06-05,4,3.0,3.0,5.0,4.0,7.0,,It is great to be able to track everything and pull various reports and views. It is nice to be able to easily upload the whole season and only those tickets that apply.,How slow it moves and there could be some simple enhancements that would make populating the fields easier such as not having to scroll down to fill out a field and more auto population.,Being able to capture all the data that is needed for managing and processing the company's tickets across the entire US,,
18,ticketmanager,Has gotten better and easier each time.,Marcelita (Marcy) H.,Admin Asst,,2+ years,NGC,Capterra,2018-06-11,4,4.0,4.0,5.0,5.0,10.0,,Very easy to maneuver thru the site and the instructions are easy to understand. Having total control of all the tickets its easy to correct any errors.,"Nothing really. Easy to use and with great customer service, I am able to fix any issues I may have and its usually my own errors. The fix is usually an easy step.","Easy to upload, allocate and track the tickets",,
19,ticketmanager,Makes it easy to entertain clients while having complete control,Verified Reviewer,,,,,,2016-05-31,5,5.0,,5.0,,,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.","- InviteManager really works with you to understand your current process and makes sure the transition to their solution will be super smooth - We no longer live in fear of what will happen in the event of an audit. InviteManager builds an automatic paper trail and is built to make sure only the right people have access to events. - Besides entertaining clients, our employees are also using InviteManager to purchase tickets on their own so they can hang out and have fun. It's actually led to a greater feeling of camaraderie in the office. Didn't really expect that, but it's great to see it happening","None really come to mind. If you're using email and spreadsheets, it's time to join the 21st century.","Easy to upload, allocate and track the tickets",,
20,ticketmanager,Does all I need and more!,Zach S.,SVP,,2+ years,NGC,Capterra,2018-06-06,5,4.0,5.0,5.0,,,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",This tool makes it very easy to to load and track the tickets owned by our company. It centralizes the request process and allows me to generate reports that show usage statistics.,"The process can be cumbersome, but some of that comes from customizations that my company has added.","Easy to upload, allocate and track the tickets",,
21,ticketmanager,Everything works great and allows us to capture as much information about our attendees as possible.,Meghan F.,Marketing Communications Coordinator,,6-12 months,NGC,Capterra,2018-06-05,5,5.0,4.0,5.0,4.0,10.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.","Invitation tool

Ease of customization

Support from staff.

E-ticketing ability

Link to corporate UPS account","Sometimes Invitation emails go to Spam boxes

Would like to be able to pull a report about invitation status (delivered, dropped, RSVP, etc.) for all attendees of an event at one time, instead of by each invitee individually","Makes life a lot easier by allowing us to manage all of our tickets in one place, including collecting attendee information, inviting them with personalized invitations, and shipping out tickets.",,
22,ticketmanager,It's very efficient doing tickets this way.,Michele W.,Eastern Regional Administrator Dealer Sales,,1-2 years,NGC,Capterra,2018-06-11,4,4.0,4.0,4.0,4.0,10.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.","If you've sent tickets to someone before then their name, address and all their information populates. That is a BIG time saver.","If I want to make a change to an already populated record, it doesn't allow me because the record has the same email address.",More efficiency in sending out tickets to our dealers & customers,,
23,ticketmanager,"Good tool, complicated at first",Melanie M.,Executive Assistant,,1-2 years,NGC,Capterra,2018-06-08,4,3.0,3.0,5.0,4.0,9.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.","I like the ability to add multiple event dates, for the same performer, at the same time. I like the reminders - especially after the event to reconcile the attendees.","Wish the system would recognize previously entered attendee names so that it would self-populate when it recognizes the name & all I'd have to do is confirm the details or edit. Also wish I could designate the approver, instead of it automatically designating my manager. I enter ticket orders for multiple business lines & my manager shouldn't be the approver of other business lines tickets but there's no option to change the approver.",Easy ability to track customer event ticket use.,,
24,ticketmanager,Satisfactory,Linda C.,Senior Executive Assistant,,6-12 months,NGC,Capterra,2018-06-08,4,4.0,4.0,5.0,3.0,8.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.","As a first-time administrator, i find the site to be very user friendly. I like that certain fields automatically populate when you enter a requester's name, saving a lot of time.","Orders that are denied/cancelled are not removed from the 'Approve Orders' section. Constant updates that, at times, cause the site to not work (ex. today - 6/8/18)",Easy ability to track customer event ticket use.,,
25,ticketmanager,Ticket Manager has always been easy use. Very User Friendly.,Carmalinda C.,Executive Administrative Assitant,,2+ years,NGC,Capterra,2018-06-05,4,4.0,4.0,4.0,4.0,9.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",The software us user friendly. Even for those that are not technologically savvy would be able to figure out how to uses this software.,Sometimes the cost of the tickets were high.. although that had nothing to do with the software. Other than that I really don't have anything that I like the least on this software.,Ease of use when purchasing tickets for events.,,
26,ticketmanager,Administrative process has been great but my sales reps are slow to accept the product.,Jennifer B.,Sales Administrator,,6-12 months,NGC,Capterra,2018-06-11,5,4.0,4.0,5.0,,,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.","The step by step process from inventory, request, approval, shipping and guest list and check in process.","Mobile app is challenging for my sales reps, the ""customer support"" to walk them through the app when they don't use it on a regular basis is time consuming.",Ease of use when purchasing tickets for events.,,
27,ticketmanager,Ticket managements system,Verified Reviewer,,,,NGC,,2017-12-28,5,3.0,4.0,5.0,,,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",I love that Invite Manager integrates with our CRM (SalesForce) so that we can track who has attended games and events.,There email invitation builder is not user friendly. I would also love for it to integrate with Outlook calendar better.,Ease of use when purchasing tickets for events.,,
28,ticketmanager,"Our customer service support has been great, quick to respond and always helpful",Eren C.,Admin,,1-2 years,NGC,Capterra,2018-06-06,5,5.0,5.0,5.0,5.0,9.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",The customer support is amazing! When we need a report or have an issue they are quick to respond and send us what we need. If we ever have a question they have someone to always help. We try to email most of our issues but they are very quick to get back to us.,Ease of use at times could be difficult if you are not familiar with the system. Navigation for some of our users could be difficult even with instructions at hand. The ease of use is not as efficient when someone new does not know the terminology that we have for the tickets.,We are able to keep up with tickets and assign them to the correct people. They are being used by clients and not gone unused. Processing of them is better than not having a system at all.,,
29,ticketmanager,"As a site administrator, I found the tool very helpful.",Shemica C.,Executive Assistant,,1-2 years,NGC,Capterra,2018-06-06,4,3.0,4.0,5.0,4.0,7.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",I like that there are reports that capture everything from usage as a whole down to the department level.,It takes a while to really grasp everything that the software can do. I also would like the link between ticketmaster to be seamless.,A central location to house ticket inventory.,,
30,ticketmanager,Our experience has been fine. The system doesn't always support the way that we are structured.,Julianne B.,Marketing Specialist,,1-2 years,NGC,Capterra,2018-06-06,3,3.0,3.0,5.0,3.0,7.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.","Line of site into the tickets. We can see what tickets we have, how they are used and revenue that might come from the usage for audit purposes.",We are set up differently that the system supports. We also don't have a large team to support this. Our admins have other duties so it's a little clunky for them sometimes.,Uniformity across our footprint.,,
31,ticketmanager,Always super helpful customer service. Very easy to use software.,Ja S.,Coordinator,,1-2 years,NGC,Capterra,2018-06-19,5,5.0,4.0,5.0,,,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",Ease of use. It's a very easy program to use once you know how to use it. The Customer service team is also extremely helpful and quick to respond.,Sometimes the functionality is not there; it's capable but you have to ask around to see if it's possible and then you can requests more functionality that I think should be standard to all.,Uniformity across our footprint.,,
32,ticketmanager,Overall works fairly well,Cortney H.,Admin,,1-2 years,NGC,Capterra,2018-06-13,4,3.0,3.0,,,,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",I like that it sends emails out with confirmations and requests for approval. Very helpful to have the link included for easy access.,"I don't like that when the tickets are sent via email, each ticket is in a separate email. Wish there was an option to have them come in one email and one pdf.",Uniformity across our footprint.,,
33,ticketmanager,TicketManager is easy to use - I can get my order done quickly.,Linda H.,Executive Assistant,,6-12 months,NGC,Capterra,2018-06-08,5,5.0,5.0,5.0,5.0,10.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.","The fluidity of the pages from one to the other, in an order that makes sense. Finding events in a chronological order makes it easy - and the search functions are logical.","Can't think of anything negative to say - I really enjoy using this program. For new users, however, maybe a step-by-step tutorial upfront.",Uniformity across our footprint.,,
34,ticketmanager,Ok. The tool is not very user friendly.,Lauren S.,Work Mgmt Scheduler,,6-12 months,NGC,Capterra,2018-06-06,4,3.0,3.0,4.0,,,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",The preload template is the best feature you offer in my opinion. It saves time for the user later.,It would be great if the Guest List template could be offered in xls rather than cvs. Xls has more features such as allowing for dropdowns which helps users to easily select correct nomenclatures for their guests.,Uniformity across our footprint.,,
35,ticketmanager,Don't understand it too well,Evan S.,Fountain installer,,6-12 months,NGC,Capterra,2018-06-08,3,3.0,3.0,5.0,,,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",Easy to find the events . I also like how it's easy to read the map of the seating arrangements for each arena.,Somewhat confusing. I didn't understand what some of the different logos meant for the tickets. And it would have been nice if there was a map of doe the parking areas.,Uniformity across our footprint.,,
36,ticketmanager,Good selection of tickets and easy to use,Henryq G.,Manager,,Less than 6 months,NGC,Capterra,2018-06-08,4,4.0,4.0,4.0,3.0,7.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",Seating chart was easy to understand and there was a good selection of seats to choose from. Could also sort by price of ticket which is helpful for those on a budget.,I would like to see actual pictures inside the theater. It would be helpful to get actual sight lines and angles of viewing.,ease of use,,
37,ticketmanager,,Kristen F.,Administrative Assistant,,Less than 6 months,NO,Capterra,2018-05-30,5,5.0,5.0,5.0,5.0,10.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",That there is a system that offers such ease to track all entertainment items for my development team!,"There is honestly, nothing that I can say as of yet that is a con as it pertains to this system. I am just now starting to use it!",ease of use,,
38,ticketmanager,It was quick and easy to use.,Verified Reviewer,,,,NGC,,2018-06-05,5,5.0,5.0,5.0,5.0,8.0,"My company does a lot of entertaining of clients, but our process was never easy. Employees would have to email their requests to an administrator, who would then track each one in an Excel sheet and seek approval from one of our senior executives. Not fun. InviteManager replaced this messy process and made it super easy. Now, we can load events into the system and have total control over which employees see them. They can request events in the system, and the entire approval process is totally streamlined within their system. We should have done this years ago. What's interesting is that by using a system based on giving company leaders total control over what's going on, we actually have a *higher* use of company events than ever before. I think it's because we took something that everyone felt was complicated and made it simple.",It was quick and easy to use. I felt at ease with choices that I could make. Lots of options available.,I did not have any issues with the software. There is really nothing I could say that would be a con to the use of this software.,ease of use,,
39,etix,Been happy with Etix for 4 years,E S.,Event Director,,2+ years,,Capterra,2016-07-13,4,4.0,4.0,3.0,4.0,8.0,,Willing and able to add or adjust features if able and is easy to use and train people on,"Their after hours customer service line is not convenient to the event business. You have to leave a message and wait for a call back from a technician which, is not always prompt. Really not fun when you have a long line of people waiting to purchase tickets and are having an issue.","Switched from TM 4 years ago and couldn't believe how much easier Etix was to use. They are growing quickly, always adding new features, and updating their system for ease of use.",,
40,etix,Exit Review,Andriana G.,Student,,2+ years,NGC,Capterra,2019-07-18,5,5.0,5.0,,,10.0,,I really enjoy using this software to buy tickets for concerts and events. It is also great if you do not have an event in mind you would like to go to because you can search around for concerts in your area. It is very easy to use.,I like everything about this software Etix.,"Switched from TM 4 years ago and couldn't believe how much easier Etix was to use. They are growing quickly, always adding new features, and updating their system for ease of use.",,
41,etix,Purchase was easy but after event got cancelled issues with part of my refund,H G.,,,,,Capterra,2016-01-21,1,3.0,,1.0,,,"I purchased tickets to an event, the purchase process was easy and I had no issues. However, the event got cancelled. I contacted customer service to get the refund process started. They did not have any issues with getting the refund of the ticket price but there are fees added to each ticket that was purchased and they will not refund this amount. My initial refund request was done via email and all was handled fine for the ticket price but then I called in reference to the fees being refunded because the gentleman via email said no they would not refund the fees and no longer responded to any emails. I was told, when I called that they would take care of getting the fees refunded back to me as well but that never happened. so I followed up with them and was told there is no record of the phone call. I feel the fees should also be refunded because this was due to the event being cancelled. I will not use etix again and will look for other options to purchase tickets in the future to events.",I really enjoy using this software to buy tickets for concerts and events. It is also great if you do not have an event in mind you would like to go to because you can search around for concerts in your area. It is very easy to use.,I like everything about this software Etix.,"Switched from TM 4 years ago and couldn't believe how much easier Etix was to use. They are growing quickly, always adding new features, and updating their system for ease of use.",,
42,etix,Use other ticketing service,Lindsey g.,Project engineer,,Less than 6 months,NO,Capterra,2019-06-15,1,1.0,1.0,1.0,,,"I purchased tickets to an event, the purchase process was easy and I had no issues. However, the event got cancelled. I contacted customer service to get the refund process started. They did not have any issues with getting the refund of the ticket price but there are fees added to each ticket that was purchased and they will not refund this amount. My initial refund request was done via email and all was handled fine for the ticket price but then I called in reference to the fees being refunded because the gentleman via email said no they would not refund the fees and no longer responded to any emails. I was told, when I called that they would take care of getting the fees refunded back to me as well but that never happened. so I followed up with them and was told there is no record of the phone call. I feel the fees should also be refunded because this was due to the event being cancelled. I will not use etix again and will look for other options to purchase tickets in the future to events.",Nothing. Nothing at all. Use another ticketing site.,"Customer service was useless, couldn't update me on my order status. The manager was ignorant and unwilling to help.","Spent $20 for express shipping (2-3 days). They didn't provide me a tracking number, any order updates or inform me they wouldn't be shipping the tickets until the next day. I called customer service. After waiting on hold for 3 hours, I finally got a women who informed me the person who can check ticket statuses is out for the day and won't be back until Monday. I asked for the manager. After waiting another 20 minutes, he said he couldn't help me but I could go on the bottom of the website and ask to be reimbursed the shipping. I asked if he could do it for me. He said no and hung up.",,
